uid,district,truename
445,Podunajské Biskupice,8. mája
446,Nové Mesto,Ursínyho
447,Vrakuňa,Pod gaštanmi
449,Vajnory,Roľnícka
450,Vajnory,MiÚ Vajnory
451,Vajnory,Vajnory
452,Staré Mesto,Valašská
453,Devínska Nová Ves,Vápenka
456,Ružinov,Studená
457,Ružinov,Zálužická
458,Rača,"Kubačova, NKD"
459,Nové Mesto,Vlárska
460,Karlova Ves,Sihoť
461,Ružinov,Vodostav
462,Karlova ves,Červený most
463,Rača,Regrútska
464,Nové Mesto,Depo Jurajov dvor
465,Rača,Depo Krasňany
466,Nové Mesto,Depo Trnávka
467,Vrakuňa,Podpriehradná
469,Lamač,Vrančovičova
471,Devínska Nová Ves,"Jána Jonáša, VW1"
472,Rača,Východné
473,Staré Mesto,Vysoká
475,Petržalka,Vyšehradská
476,Rusovce,Vývojová
477,Devín,Dolné koruny
479,Záhorská Bystrica,Záhorská
481,Záhorská Bystrica,Záhorská Bystrica
482,Ružinov,Saleziáni
483,Ružinov,Fafruny
484,Rača,Záhumenice
485,Lamač,Stn. Lamač
486,Staré Mesto,Zámocká
487,Petržalka,Záporožská
488,Nové Mesto,Kuchajda
489,Rača,Závadská
490,Petržalka,"Kopčianska, stred"
491,Ružinov,Trnavská cesta
492,Rusovce,Kaštieľ Rusovce
493,Rača,Pri Šajbách
494,Ružinov,Dvojstudňové polia
495,Ružinov,Zimný štadión
496,Nové Mesto,Stará Vajnorská
497,Ružinov,Zlaté piesky
498,Devín,Zlaté schody
499,Petržalka,Znievska
500,Staré Mesto,Zochova
501,Staré Mesto,Habánsky mlyn
502,Petržalka,ZŠ Budatínska
503,Karlova Ves,ZŠ Majerníkova
504,Rača,Zvončeková
505,Dúbravka,žatevná
506,Petržalka,žehrianska
507,Nové Mesto,železná studnička
508,Vrakuňa,železničná
510,Vajnory,Staré letisko
512,Vrakuňa,žitavská
513,Devínska Nová Ves,Stn. Dev. Nová Ves
514,Lamač,Skerličova
515,Nové Mesto,Stn. Nové Mesto
516,Podunajské Biskupice,Stn. P. Biskupice
517,Petržalka,Stn. Petržalka
518,Rusovce,Stn. Rusovce
519,Ružinov,Stn. ÚNS
521,Vajnory,Stn. Vajnory
522,Nové Mesto,Stn. Vinohrady
523,Petržalka,Antolská
524,Rača,Potočná
525,Ružinov,Syslia
527,Petržalka,Prokofievova
528,Petržalka,Kopčianska
531,Devínska Nová Ves,Vápencová
553,Ružinov,Avion Shop. Park
554,Devínska Nová Ves,Paulinské
558,Čunovo,Danubiana
559,Čunovo,VE Čunovo
560,Staré Mesto,Súbežná
561,Staré Mesto,Prvosienková
562,Staré Mesto,Stará vinárska
563,Staré Mesto,Slavín
564,Staré Mesto,Havlíčkova
565,Staré Mesto,Mišíkova
566,Staré Mesto,Donovalova
567,Čunovo,"Čunovo, priehrada"
568,Čunovo,Areál vod. športov
572,Devínska Nová Ves,"Volkswagen, VW2"
574,Karlova Ves,Tesco Lamač
575,Podunajské Biskupice,Podunajská
577,Nové Mesto,Vihorlatská
579,Petržalka,Cintorín Petržalka
580,Ružinov,Pestovateľská
581,Ružinov,Most Apollo
582,Ružinov,Trhovisko
584,Staré Mesto,Kalvária
585,Nové Mesto,Na Revíne
586,Nové Mesto,Júnová
587,Nové Mesto,Cesta na Kamzík
588,Nové Mesto,Jaskový rad
589,Nové Mesto,Matúškova
590,Nové Mesto,žabotova
591,Nové Mesto,Rozvodná
592,Nové Mesto,Briežky
593,Nové Mesto,L. Dérera
594,Nové Mesto,Guothova
595,Nové Mesto,Višňová
596,Rača,Vajnorský potok
603,Vajnory,Tuhovská
604,Rusovce,Pieskový hon
605,Petržalka,Ševčenkova
606,Záhorská Bystrica,MiÚ Záh. Bystrica
607,Staré Mesto,Nové SND
